index,essay_id,essay_set,essay,domain1_score,domain2_score,split
451,4296,2,"Dear Newspaper,      I would like to start off by saying yes, books, magizines, music, movies, etc., are great for the kids in the library.  I think thats the best thing for them to do when they dont have anything to do, go to the library and read or work on stuff in the library and I think that some things should be in the library because we are in high school and we need to learn some things here but some of the things we learn are not very appropriate.      In high school just walking down the hall ways your going to learn alot of things you probably dont need to know yet but when you walk into  a library they dont need to encourage it by putting  books of drugs, alcohol, and sex on the shelves.       Books about drugs are alright to an extent.  If your reading about medicanes you can take and being in the doctors office and getting percriptions is alright but when you got books about pot, weed, crank, or meth thats a little much.  We need to learn about those drugs and what they could do to us if we use them or abuse them but we dont need to know how to roll a blunt or make meth.      Books about alcohol are the same way.  We need to know the dangers of drinking but we dont need to know about teen parties and things to do when your drunk.       Advertisements, magizines, etc., are the worst things for us kids because everyone of them have something to do with drugs, alcohol, or sex and trying to get us to do those thing in high school. The front cover of magizines always have people who have got caught with drugs who is dating or sleeping around with who and ik that we will and need to know these things but i dont think we need to read them out of books because then we read it and see how other people did it and we feel the need to do it or try it.     I believe these books that are over the line about alcohol, drugs, and sex need to be taking out of the librarys so that the kids have something to learn about and ask there parents about.  I have been in the librarys and I know for a fact that the first books I go for have one of those three invloved in it because those are interesting and we like reading about stories at parties or someone getting pregnant or an @ORGANIZATION1 but also when I read I think about it and I think I want to go to a party they made them sound fun.     This is what I think about some of those books on the selves and what I think should happen.                                                                       Sinceraly,                                                            @LOCATION1",3,3.0,train
1626,3115,2,"There are many people that think certain books, music, movies, and magazines are offensive and should be taken off the shelves at libraries. If you had to do a project on a subject that was offensive to certain people and there was no information on it wouldn't you be a little upset? If you found somethings that are offensive interesting you should be able to go to your local library and read a book about it, and if you like to listen to offensive kind of music then you should be able to just turn the radio on and listen to it and not have to worry about those kinds of things getting removed.       Some people are assigned projects for either their job or for school work. If the subject of your project was offensive to a certain race or person you would want there to be books or any other kind of information on the shelf at your local library so you could work on it. If all of the offensive books got removed from the shelves at libraries then nobody could be getting there work done.     Some people find some offensive subjects interesting. For example, if someone found the @PERSON1 interesting they @MONTH1 want to just do some research to learn more about it. If the books and magazines all disappeared from the shelves about this subject then those people would not be able to learn more about those kinds of subjects.     There are a lot of people that think most of the music that you hear on the radio today is offensive. If they got rid of all of that kind of music then there would probably not be a lot of music left to listen to, and a lot of people would be very mad. Also, if they got rid of all of those types of music then the writers of those songs would not be able to make any money and would be out of a job.      I think that the people who think these kinds of things are offensive should just stay away from these things and stop complaining. All of the people who do not take these things offensively will be glad that they are not removings books, magazines, music, etc. I hope you take into consideration not removing these types of things from libraries and anywhere else",4,4.0,train
943,3808,2,"I do not believe that books that are considered offensive should be removed from public libraries. I could understand if it was school libraries that were in question, because of the fact that some of the materials that these extremely explicit books contain is not for a child to be reading. I feel as if these certain materials can be helpful to seeeing other peoples point of views on certain subjects. Though books this material can be called offensive, to certain people this is there culture and how they live.    What would happen if every book that was considered offinsive was actually removed for book shelves? Some of the most interesting books that I have ever picked up have been controversial. The eye-opening world of these books is amazing. The fact that I can read about other peoples life, and their everyday struggle is astounding to me. If we all made a huge decision based off of one persons opinion, then our world would be a mess.     Therefore, if all of these 'offensive' books were to be removed, then what is left to read. I want to read something that is going to grab my attention, and make me want to keep reading. I do not think that i would have that type of experience if these books were removed.",3,3.0,train
181,3612,2,"What is a library?  A library is a place you go to that has books, movies, music, magazines, etc.  With these things a person can do research or use for entertainment.  Should there be censorship in libraries?     In my opinion there should be very @CAPS2 censorship in a library.  If there was a complaint about being offended by something in the library and it was removed from the shelf, there would be nothing left to use in the library.  Many people like to go to the library to relax and have some good peace and quiet time and while there at the library they let their minds flow, imaginate, and dream.  They don't worry about being offended by a @CAPS1 @CAPS2 book.     However censorship in a library can be a good thing if used delicately.  For example, moving grown up books to a section where children will not read them and have nightmares about a picture they saw in it.  What I'm trying to say is have censorship in the library, but at a very low standard.  If a library had high censorship and everything was taken off the shelf what is the point of going to the library, it would be an empty room.     If someone is offended by something in the library, depending on how severe they where offended take the appropiate measures.  For instance if something just offended someone unintentionaly leave it where it is, but if something offends someone intentionaly by their race, ethnicity or something like that, it would then be appropriate to take it off the shelf.     Having low censorship in libraries would be good because there would be a good quantity of stuff for you to do your research on and there would be more topics to choose from to let your imagination soar.  While at the same time you would not have to worry about being severely offended",4,3.0,train
1321,4045,2,"Most people consider libraries an unharmful place. However it's often found that some libraries have offensive books as well as magazines on it's shelves. Kids that are interested in reading can't be looking for a book and pick up a @CAPS1 novel with a nude lady on the cover. I do believe libraries need to have some sort of censorship on not only their shelves but computers and movies as well. Let me further explain to you the reasons why libraries should have such boundaries.     A library is a place to get away and explore your mind in a fascinating way; by reading books! Now would you want to be looking for one of your favorite books and find an offensive image? Nudity, cursing, and drugs are all offensive images I have seen in a library. It's not appealing to see an article about some sort of alcohol when its sitting right next to a kid's magazine. What kind of message are we trying to send to them? That it's ok to get drunk or have sex and read the magic school bus? I think there needs to be some kind of organization set up to go around and help censor libraries. Since the media controls the internet and most of the magazines, I think it would be a great idea to dispose of that in our libraries.     Libraries are a reading playground for not only our children but friends and family as well. We don't want our kids getting the wrong message when they go check a book out and pick out an autobiography on @PERSON1. Censorship does need to occur in our libraries and I believe it should happen soon. I'm not saying go and wipe out all the books you have already purchased at sometime because that's already in the past. No matter where you are you cannot escape offensive gestures; but please let's keep it out of the library.",3,4.0,train
1102,3044,2,"I don't Believe in censorship of libraries. Were @CAPS1 we live in a free country, and have the right to have access to the matrial we want from libraries. It doesnt matter if its age aproprite or not. If you dont want your kids listening to that bad rap artist, or watching that @CAPS2 rated movie, then its your responsibility as a parent to keep it from them.     Part of what makes @LOCATION1 so great is the freedom that come with living here. If we allowed anyone to censor a library then we would have no books to read, movies to watch, or music to listen to. Katherine paterson said 'All of us can think of a book that we hompe none of our children or any other children have taken off the shelf. But if I have the right to remove that book from the shelf- that work I abhor-then you also have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us.' this quote shows that if anyone had the right to pull a book from the shelf we wouldnt have any books left.     Censorship would just be the start.It could lead to the government censoring information from the public that they don't want us to know. which would take away the greatness of @LOCATION1, we wouldn't be free.     Censorship of libraries would take away our rights. witch is why i apose it",3,3.0,train
1209,3646,2,"In @DATE1's world there are so many things around our children that if we tried to take materials away, we would be take most of what is made for entertainment. Many adults say that our world has changed so much from the time when they were younger. Well, why don't we do something about it? People need to stop complaining about everything and just do something. Adults can eliminate the amount of materials the children take home with them.      If you were to walk into any store these days you would find something that you would not want your children to watch, see, or listen to. I believe people are doing the best they can to seperate these materials from the family oriented materials. Sometimes it is just not enough, children are still getting addicted to some materials at a very early age. These children share what they have with their friends, and these other children start doing the same things.        Many materials such as movies and music have negative ideas that teach children things they do not need to know or learn. The material that talks about drugs, parties, and drinking does not even need to be on a radio station or a television channel that a young child would listen to. Our adults need to also learn that it is not good for the children to learn and listen to these things, and to keep their children away from it as much as possible.     Like the author said if everyone was able to take something off of the shelves there would not be anything left. We are always going to have these things that we do not want children to see, but we can start to eliminate some of them. The others we can not eliminate we can continue to keep on the shelves and other places, but just kept where children don't go.     I believe that our towns and cities can do a better job of keeping our children away from @CAPS1 rated movies, negative songs, and different books that talk about 'adult things.' The children are the future of the world. If that's all they are watching and thinking about then it does not look good for the future. There are many things we can do to stop our children from watching, listening, and learning about these negative things in life. Keep the children away from these materials, it will be a better world if we do.",4,4.0,train
936,3300,2,"Censorship in liraries, in my opinion is over-rated. Everywhere you hear of book, music, magazines, and movies being offensive or degrading, but does that mean that they should be taken off the shelves of our public libraries, or out of book stores? I say no because, future generations need to know of the material, it @MONTH1 not always be offensive, and the public libraries have no right to tell us what we can, and cannot read.     Some say that our future generations will be greatly shorted of knowledge, or become naive because of this lack of knowledge. I say this is because of the censorship in libraries. Katherine paterson once said 'All of us can think of a book that we hope none of our children or any other chilren have taken off the shelf. But if i have the right to remove that book from the shelf-that work I abhor-then you also have exactly the same right and so does everyone else. An then we have no books left on the shelf for any of us.' So if they're taking books off the shelve because they find them offensive, then there will be so many books gone, that the kids will not have a broder view as so many people are lucky to have today.     Everyone has a different oppinion about everything, including what's offensive and what's not. If one person see's a book as being offensive, that doesn't necessarily mean that someone else will also. I've heard of teachers not letting the students see pictures of The @CAPS1, because the think it's offensive. Not everyone agrees with that. The @CAPS1 is a big part in history and it being catorgorized as offensive is wrong, it's not the only thing in history that is bad. If they start taking out big parts of history, it will be long lost and forgotten.     Lastly i believe that the libraries should not be able to tell us what we can and cannot read. We have the right to choose what we want to read, if we think that it's bad and shouldn't be reading it, then we won't read it. But that doesn't mean they should take out the book because one person finds it offesive. Someone else might want to read it. I think that people are mature enough to pick what they read, and as for children their parents are the one's that could pick for them.     With so many different oppinions it's hard to decide what to do about censorship, I believe that if it's offensive maybe they should have a special section for explicit media and reading. Maybe then people wouldn't be offended by it. Just because one person doesn't like it doesn't mean another wouldn't either.",4,3.0,train
1797,3420,2,"Sometimes i think its always good to have an anappropiate material on the shelves of stores or a library. i feel this way because of when you see stuff that is offensive, most people are willing to buy. Or maybe when you been through rough times in your life, people like to read books that can be offensive be cause it was a reflection of the way they've been brought up.         My views on censorhip contain to keep the offensive materials because its what people like best. Music, magazines, books, and movies. All of these materials can entertain adults, and teenagers because of the anappropiate sayings. It seems to give people to boost up their style and ways to act, such as music as the number one offensive material. Music comes from everywhere around the world, where young teens adapt to that kind of music and starts to feel that anapprpiate vibe.          Another reason my views on censorship contain to keep the offensive materials is because of what we see and watch. Movies and television. when we watch a movie thats is offensive and that can be very anappropiate, you learn from whats in the movie. Most people make movies that can teach lessons if your willing to follow behind, or some movies contain advice for people that are going for the wrong things in life. Thats one of my main reasons i think the newspaper should keep offensive movies in stores. Television is basically the same for movies. You can learn a lot from a offensive @CAPS1 show, you can learn what and what not to do.          Also my views on censorship contain to keep the offensive materials of what we read, books; books are entertainment and what most of us like to do when we have free time off our hands. People seem to read books because of the catorgories that most likely are to fit the way they are, such as reflections of peoples lifes, rough, lovely, funny and drama. We attend to read these offensive books because of what some of us been through as a kid or just would like to read it because they wanna maybe feel the same sympothy that some one else @MONTH1 have had. Also books can be adviceful of ehat people want to do in life, careers that you @MONTH1 be intersted in.     last but not least on my views on censorship contain to keep the offensive materials like magazines. Magazines are the least offensive object that is placed on a shelf. I go against the reason of magazines to be on the shelf because its alot of gossip. I believe gossip is one of the main reasons why most people buy magazines. Also because of the false information. The false information that that give, is what we wanna buy. But for the most part of my oppinion, i believe that this material should not be in the store unless they change it up.     I believe the offensive materials music, movies, books, and some what of magazines should be on the shelves of stores because lots of people are willing to buy. They all catch eyes for gossip, provokinding adds",4,3.0,train
1207,4620,2,"I beleive censorship is a good thing; to an extent. I think that censorship deals with an age group and the permission of the parent(s) or guardian(s). If a consumer is the age of twelve and under; then the consumer should buy the censored books and etc., but, if you are thirteen and above you should be able to buy product uncensored.     Some people do not like censored products because they feel it takes away from that particular thing. Music, for example, alot of people get angry when the song lyrics on a @CAPS1 are censored. It does not allow the people to get the full effect of the music and the 'message' that the artist or band is sending.     With books; people get upset because they cannot get the full aspect of the book. Censoring a book is like taking away part of a masterpiece. Some books should be censored like alot of romance novels; those get pretty graphic and go into alot of detail with sexual themes and content. I do not think those books should be on the shelves.     In magazines; it depends on the type of magazine the consumer is reading. If a person is reading a politcal magazine; those magazines do not put all of the true facts and details into them for certain reasons. If a person is reading a hunting or fishing magazine; then they can put in all the facts on the guns, calls, lures, and stories they want and do not have to censor them.     Movies, on the other hand, are censored on certain channels. If you are watching a movie on a @CAPS2 network like @ORGANIZATION2 or @CAPS3; those channels censor movies. If you watch movies on @ORGANIZATION1 or @CAPS4 they do not censor the movies because those are movie channels only. That is also why movies have ratings. R is for restricted to people under seventeen (without an adult present) , @NUM1 is for people of the ages sixteen and under without an adult. and @CAPS5 and @CAPS6 are fine for any age group.     All in all; censorship depends on what age group the consumer is in really. If you are still in elementary school you probably should not be able to buy uncensored products; if you are thirteen to about fifteen, you should be able to buy the product with permission from an adult, and if you are sixteen and older you should be able to buy the products uncensored with out an adult present because you know you can handle the 'offensive' matierial",4,4.0,train
118,3009,2,"Books, music, movies, magazines, etc. should not be removed from certain library shelves because people have enough sense on what they are interested in and what they are not interested in.  There will always be people that find specific thoughts or ideas offensive no matter what the subject is, so censorship does not really make a difference to the individual.  Censorship is not necessary because people know what they are interested in without anyone helping them find what they are looking for.       Censorship is not entirely necessary because people will always find something that they are not exactly looking for or interested in.  People's interests are their own business without the censorship of others in the surrounding community.  I've read a couple books that have cussing in them, but the book is still as good as it would be without the cussing in it.  People like things no matter what, because there will always be flaws with some objects such as books, music, and movies.  Books, music, and movies all have much interest from the common person, and each individual is capable of making their own decisions based on what they are interested in.  The individual does not need edited objects, or music to listen to the music or other objects without being offended.  There is something offensive to people in every work that has been published, and the buyer is fully aware of that fact before they go and buy something.     Censorship is not necessary because individuals are aware of what they are interested without anything telling them what to look for.  People will almost always get offended about what they are watching or listening to no matter what it is, so why is censorship such a big deal?  Censorship is not needed in today's society because each specific individual is capable of making their own decision in what's best for themselves.  Books, music, movies, magazines, etc. should not be taken away from the library shelves because there will always be some offensive objects that some individuals will find offensive no matter what the object is.",3,4.0,train
