,essay_id,essay_set,essay,domain1_score,domain2_score,split,llm
1168,3453,2,"I enjoy reading very much so and I have read several books since I've been in highschool. Three of the best books I have read through my high school career were about drugs, rape, partying, and had innepropriate language in them.      Some parents would not like their children reading those books and would ask for them to be taken out of our school library, but I think that is completely wrong. We have  freedom of speech and press so why can't those books be in our school libraries? What some parents think are offensive, others might not. Most of the time children disagree with their parents anyways so they are going to read whatever they want to read, or watch what they want, or even listen to what they want.      People are different and we have a right to our own opinions. Some parents would say that those kinds of books should be taken out of the library but that's wrong, if you don't like them then don't read them, or discourage your kids from reading them. It's just a book, it's not like it's actually happening. Books are separated by age too, so a young child will be getting books from the children section so those books are for children and should be appropriate. Teenagers have a section too and they should be mature enough to handle what they read in books.      I do not believe that certain materials should be removed from our libraries because a select few people think their offensive, that takes books away from people who enjoy reading those kinds of books. Then if all kinds of people are saying everything is offensive there will be no more books left on the shelf for people who don't think their offensive.When I am an adult I will tell my children what I expect from them and let them make their own choices because no matter what they will anyways and if they want to read a book with bad language in it, or a movie with language then so be it. It's not like they're actually doing what's going on in the book. Overall I think it is completely wrong for books to be removed from libraries for people complaining about them being offensive",4,4.0,train,Score: 3
1171,4091,2,"Removing certain books,music,movies,magazines,and so on is a serious question to ask.Well,some believe its a good idea,on the other hand other people dont. If you ask my opinion I would have to side with not removing certain books,movies,music,etc.     One of the many reasons why I believe we should not remove them is because everyone is entitled their own opinion.Some @MONTH1 find a book offensive,well on the other hand some @MONTH1 find it riviting and not offensive at all. If the person thinks the book is offensive they should simpily not read it.They should not have to band books,music,movies,etc. just because some find it offensive .Well others @MONTH1 find things offensive that the other person does not .We all have are own beliefes and we should be free to express them,as long as it doesnt involve breaking any laws.     Another reason why I agree with not removing certain books,movies,and so on is because we might not have any left.Like i said before we all have our own opinions.Not every single person is going to say a book,etc. doesnt offend them.We should not have to take away certain items.But on the other hand i believe we should restrict certain books,moves,music,etc. If a book,movie,etc.,seems to complicated for a child to comprehend,then they should not be able to read,watch,etc.,the item.We should classify things based on knowledge,understanding,and maturity.     Also I believe we all have a right to believe what we want to believe. Just as we all have choices.I can agree with some of the arguments other people have for removing certain books,and movies,etc.,but the main idea is to do what is best for everyone.I just dont see that removing every book,movie,music,etc.,will solve any problems .In fact I truly believe it would make matters worse.Their would be arguments of what to remove and what not to.     In conclusion I belive we should keep libraires the way they are.It would keep things less complicated. Also it would be the best choice. i\",3,3.0,train,Here’s the breakdown of
1172,4268,2,"I think that some books should be banned from libraries that are offensive or use certain words against people, I think that should apply to highschool libraries because it really would matter in elementeries because they wouldn't know what some things mean. If a class were to read an offensive book and someyone in the class from the opposite race that reads the book others could get affended and it could start a fight.     Some high schoolers could get affended quicker than others and which could cause a lot of problems so by avoiding that there should be votes on books that should be banned or not be aloud to be read in class or in school period. Im pretty sure people would think its dumb to ban books but trust it me it would solve a lot of problems, but it all comes down to whats acceptable and whats not without hurting other peoples feeling and putting them down.     I bet all the time in classes theres been a story that has been read that has talked about races which makes others not feel comfortable, and theres always that person that always trys to make fun of something, but if I were in this situation I would try my best to not let others get to me and interfer with my grades and performance. I would just ignore them as much as possible and if it did start getting annoying I would talk to my counselor about trying to talk to that person individually or just removing me from class. I'm pretty sure most schools wouldnt tolerate this type of behavior but you will always have those kind of kids you just have to ignore.               You should never not go to school thinking you don't fit in just because someyone is making fun of your race or how you look. They just try to make the day harder on you and all you have to do is ignore them or report it and hopefully it is taken care of",3,3.0,train,Here’s the breakdown of
1173,4551,2,"This essay is about cenorship for the libarys well their shouldn't because alot of this stuff is on tv like comedy centreal, @ORGANIZATION2. @CAPS3,mtv and alot of channels.     should music be cenorship no because the blanks can ruin the beats, rythem, and the lyrics. The cenorship ruins how the song goes and it makes people mad because they like a certain song but if they want to listen to it they have to get on a computer. Websites they can get on to listen to it is @CAPS1, @ORGANIZATION1, @CAPS2, and alot more.     Movies shouldn't ethier its the parents pick if they didnt want the kids to watch or hear the things they do dont pick it or tell the kids to go to their rooms.     Books!!! should not i repeat should not be cenorship because what if the adults want to read them. That aint fair for them cause all of this is a about kids. Kids are smart about this they know what to read and what they shouldn't read.     T.V. shows! is best thing ever their alot of shows thats funny,awesome,thriller,and alot more. But its gets to you. Here a example @ORGANIZATION2, @CAPS3, and more plays alot of good movies but since they have block out the words and parts of movie it really dont make sense to watch it because their not parts they really haved seen and they have to go rent it or buy it. To see the movie. Am i right?     All i am saying the cenorship ruins alot of tv shows movies and music and nobody wants that. It's ruins the enteriment for people and that sad to see cause actors, music writers, writers, and alot more speanded alot of their time for the fans and work. When they can be with their familys!!! Well this is the end of my essay",3,3.0,train,Score: 2
1174,4301,2,"I believe that if some people don't like a certain book or movie then they should be able to tell the library about that itme and it should be removed from the library. The library should allow people who use the library to take away things that are offensive to its customers.     Some parents who come into a library with their children let their children go off and look at books by themselves which is what my @CAPS1 used to let me do when I was a kid. If children are by themselves with no adult supervision and wander into an adult reading section they could look at something bad. They could also buy a magazine that looks perfectly fine on the outside but have offensive images on the inside.      When I was ten years old, my family and I went on vacation to @LOCATION1. We were watching a baseball game that was on commercial break one night. We were fliping through the channels wating for the game to come on. We were all watching the television when an offensive image came on the televison that children's eyes shoudn't see. That occurance happened when I nor my parents wanted me to see it. That image was an adult image and was meant for adults only, but childrens eyes can see it as well. Libraries should think of this when they are puting books and magazines on their shelves. They might be making a little bit of money but they are effecting a childs life in a negative way. Things like this could happen in a library also because children who are young won't always know what is a childs book and what is an adult magazine. Children also might ask their parents for music that the case of the music might look fine on the outside, but have cursing and bad things on the inside. This is the reason why all items in a library that are offensive to people should be removed from libraries.     If people who go to the library don't like something on the shelves they should be able to ask the library to take the item off the shelve. The libray might not do it everytime, but taking items off the shelves would make libraries more enjoyable and safe for children. If the library doesn't take the items off the shelve it could effect their business in a negative way. The library should only take off the items that regular visitors to the library ask for. The library shoudn't listen to someone who has visited the library only a few times. The library should listen to its customers that visit the library often.      I think that all offensive images to people that visit the library should be taken off the shelves and removed from the library. The library should listen to its customers not only because it could effect their business, but becasue it could effect the lives of children in a positive or negative way.",3,4.0,train,Here are some key observations
1176,3327,2,"BOOKSDear @PERSON1,@CAPS1 @CAPS2 staring to tell you about the books in the libraries that some adults find offensive so for the kids. These books should be taken away so kids won't read them, second part is adults should protest so the libraries could get does maganzines away or etc, and my last thing is @CAPS4 do libraries get these books and let kids take them so they could read them.The first example @CAPS2 giving is I founded some books and other things that I search being offensive for kids. And the libraries letting kids read them without an I.D because they are for adults reading sections. These books need to be away so kids won't read offensive things or trying to them. They should pbs books so under age children could read and so parents don't have to be worry about there kids what they are reading in there free time.The second example is parents should protest so books or other etc things could be rid of. Parents need to protest so any thing they find offensive should get off of the shelve. Or another thing is they will have to make a list of what books are offensive and let only adults read them by having an I.D and could sound a little better so books or etc don't get rid of the books.The last example is @CAPS4 do libraries let kids take them home and read them.They should what kids need to read like educational books for school or for other things. Adults need to see what there kids read this days. Kids need to understand what books are good for them from there age and otherwise their brain will start confusing them at their age.The conclusion is that libraries need to make something up so children don't read these kind of books that the only thing will do is mess up with there brain and then there parents will need to pay so their children could take therapy and others kids so their brain could be better. So please libraries do something so parents don't need to worry about what there kids read these days. Like for me I won't like my kid read offensive things because they will start doin the same things so libraries do something about these on offensive things.",3,3.0,train,The essay has several issues
1177,3822,2,"Libraries are often known for protecting our children and keeping an education atmosphere, however, you would be suprised the content our children @MONTH1 find in such a seemingly friendly place. With a simple library card, children could check out a   boat-load of information that could be teaching them lessons you would not want them to learn. But nobody can be looking over thier child's shoulders all the time. The answer to this problem is strict censorship.     Books are big, powerful, and a vast amount of information. Even though most parents believe publishing companies would intend on not letting children reading books that can be easily misunderstood, the truth is it's up to the library wether or not a book can be checked out. Most of the time, only adults can understand what the charaters in a book are going through. This @MONTH1 be because of the adult's extensively more experiences throughout their own life. Another comon belief is that seperating a library for the younger and older would solve this problem. The fact is, even if an adult checks a type of media from the older selection, this does not stop the younger child from witnessing or reading something as simple as a video or magazine at home. The only solution is to stop these materials from entering libraries and censoring the offensive, easily misunderstood media before it gets into the wrong hands.      Libraries are great for research or school projects, but books and magazines that are inapropriate should never end up in the place built for an education experience for your kids. Censorship has to be inforced to help keep and maintain our libraries educational atmospher and keeping our children safe from offensive material",3,4.0,train,Score: 3
1178,3600,2,"Parents should tell their kids what they are allowed to read at certain ages. That is where my opinion will start, and tell why it is that way. I will talk about why I disagree with this statement. Also, give reasons on why i feel this way about the statement.     I really think that anyone should be able to read the kind of books that they like. The library is where they get the books from. So, just because a parent does not want their child to read a certain book doesn't mean that the book shouldn't be there. I think that parents need to tell their children why they do not want them to read a book.     If the parents explain, kids will understand why it is not good for them. Those type of books are what older people like and they are very interesting. I think if people understand what the book talks about and if it does not bother them, then they are old enough for it. Also, the young kids that should not be reading these books should have and adult or guardian with them, therefore they can stop the kid from reading something that is not appropriate.     Something else that will bother many people is them not being able to get a book just because parents do not like it. This is taking a right away from us, and we should not have to go buy the book and only read it once. If these books are so horrible than why would people still be writing them? So, if they have not bothered people that bad yet then there is no reason for people to not like it now. People should be able to do what they enjoy and not have that taken from them.     This is my opinion of the statement. Many people @MONTH1 not agree but I just tried to make people to see my point of this statement. Then everyone can help stop people taking things away from the community that makes them happy. Also, I hope people can still have their rights and not let a couple people take it away from them.",4,4.0,train,Score: 3
1179,4291,2,"Censorship, @CAPS1 or @CAPS2?          I can understand why libraries would decide to keep certain books off their shelves. Libraries are a place for learning and work. If you were sitting near someone at a public library who was reading smut you could feel awkward.      Although some people @MONTH1 find certain items unoffensive, other @MONTH1 disagree. Imagine you are a mother with a young child who decided to wonder through the library. Your child finds a magazine. It's '@CAPS3'. Not something that you are going to want to explain to your child. If the library were to have not kept the magazine, it never would have happened. Libraries are a public place that should be taken seriously.    If people really want to find something that is inappropriate they can find it somewhere else. The modern world today makes it easy for people to find just about anything without a large hassle. Therefore it should be fine to keep certain materials out of our libraries.      How can people take libraries seriously if there are dirty books, or books with rude language, and scandalous themes. If you are trying to get work done or learn and there are distracting items on the shelves then it @MONTH1 make things more difficult. Libraries are serious places and should be treated as such.",3,4.0,train,The essay has several issues
1180,3050,2,"NO, I dont think music.movies.magazines, and etc., should be moved from libraries because whats a libaray with only books? In even though you have to read and be quity and be seated. You can have music while on the computer and you can watch and check out movies you @MONTH1 like. And the magazines to keep you updated with the newest fashion on new looks or something thats going on and our community.Music is what you wont to listen when you come to the libary. It smoothing up the vibe and if you @MONTH1 be and a bad mood that music you @MONTH1 like @MONTH1 claim you down in put you and a better one. It relax you. You can be on the computer and still listen to music. While reading a good book you can be listing to music.Movies is a good source when and the libary. You can watch movies while and the libary and check some out. In take home and watch. You can watch all types of movies. Movies you @MONTH1 like and it also can be movies you @MONTH1 need for a project or even educatoinal movies. If you wont to leran about nature, animals,or even a @CAPS1 person from the @DATE1. Its always good for a movie and the libary.Magazines and a libary is very helpful. Because while you @MONTH1 be waiten on something or it could be on the computer you can seat and grab a magazine. In the libary its a varity of magazines you can read like sports,fashion,nature,cartoon,animals and etc. So magazines is very helpful and a libary.Thats why i say no, because it shoudnt be removed from  libraries becouse you can do lots of great things and the labary besides just reading a book and getten on a computer. Movies magazines and music is helpful and a libary to. Who just wont to get on a computer and read a book. '@CAPS2 @CAPS3'.",2,2.0,train,Score: 2
1181,4124,2,"I dont think so becuase what if that is all the person likes to read.  They could put all the bookes in to diffrent sections so that littel kids wont be learning words they shouldnt know wright now.  the librarian could also make it where you have to be a sertaint age to cheak out a book.      There are a bunch of ways to orginze them in to sectoins like make a kids section, a teenager section, and even an adult section. But i dont think the should take the out of the libary for good, becuse there are a lot of good books with some bad words in them. just becuase ther are some bad words in abook does not mean the book is bad",2,2.0,train,Score: 2
1182,4018,2,"Conflicting works of art such as books, music, and movies, have always been seen in libraries. Whether it's @CAPS1 or @CAPS2 @CAPS3 @NUM1, someone is going to be offended. But whether or not these offending works should be banned is a common topic among authors, musicians, and movie-goers alike. I personally believe that all of these works have a right to be seen, heard, or read, because the creator has put much effort into stating their opinion and have a right to freedom of the press.         You could take any famous work and someone could be offended @CAPS5 it because it displays something contrary to their beliefs. But this does not mean that that work should be banned! Banning a book would mean total rejection to the author's thoughts and opinions, and everyone has a right to those. The censorship of any work is unconstitutional because as citizens of the @LOCATION1 we have total freedom of the press. You simply can't apply censorship because whether you keep it on the shelves or not, people are going to be offended. Also, as shown in @PERSON1's @CAPS4 @NUM2, the censorship of books could lead to a society unable to have a real knowledge of the past and the feelings and thoughts of the people of that age.      To me, 'offensive' books, movies, and music are not bad, they are merely a stimulant for debate. They can allow you, rather than just the author, to express your feelings on what was presented in the works. But to completely remove the cometition of the debate would be sabotage. @PERSON2 @LOCATION1 that 'if I have the right to remove that book from the shelf...then you also have exactly the same right and so does everybody else.' @CAPS5 saying this she is expressing that if we all could go into a library and remove the books, magazines, movies, or music that we do not like, then there would be absolutely nothing left. Every work would be remove because at least one person is offended @CAPS5 every work of the sort. Therefore, to allow books to be read, music listened to, and movies watched is to allow everyone the freedom of writing down their thoughts or stances.      The censorship of any work, anywhere, is allowing for the 'shutting up' of ideas. These ideas are the ones that keep society going @CAPS5 making us think and helping to formulate our opinions. @CAPS5 allowing this we are creating future generations of great thinkers. In this case, @CAPS5 keeping books, magazines, and music on the shelves, we can continue to 'learn from the past' and utilize the information and ideas that have been used throughout history",4,4.0,train,Here’s the breakdown of
1183,3152,2,"I do not believe that books should be removed from the shelve do to something offensive.Libraries are a very important aspect to life for most people nowadays. Mainly because where I live our city is working on a new plan to close the library nearby.For, me and my friends the library is very important because we do not have a computer in our home.The library has the internet and older books with information on the city.           Living in the society that we have now not every household can afford a computer with internet.Me myself living in one of those households.The library is a great quiet place to get your work done.Its also, provides the internet that people cant afford and need for everyday life.Every job application or school assignment is no longer on paper ,but online.      Being a @NUM1 grade student we have to alot of projects to do that require old books on the city and history.If they remove certain books of the shelve i @MONTH1 not be able to find important information that I need.Also, I know that every person has their own opinion on what is offensive to them ,however if everyone found something offensive in the book, movie or magazine does that mean it should be removed? If that happened there would be a very limited supply of books.    I have a friend who is mixed with mexican and sometimes she finds slavery very offensive ,but to me I believe that it is important for me to learn about my history.Proving that something that might be offensive to one person @MONTH1 not be offensive and maybe very important to the other.           In conclusion, I disagree with books being removed from the shelve due to offensive content I believe is wrong.Every person is different and find different things offensive ,but things should not be taken away from another person who @MONTH1 need it",4,4.0,train,Here’s the breakdown of
1184,3109,2,"Katherine Paterson stated this quote, ' All of us can think of a book that we hope none of our children or any other children have taken off the shelf,' @CAPS1 I agree . I feel that some of the books we have in our @ORGANIZATION1 libraries today just shouldn't be there. Offensive books, music, movies, and magazines can give  students and young children the wrong impact on life or their envoirment around them.     Now days, what children see is sometime what they do, so if books, music, movies, and magazines give them the idea that what they say or do is cool, then kids will most likely do it. @CAPS2 observation when i look at kids  in @CAPS2 community playing  is that they follow one another . When their playing tag and hide an go seek , So movies, books , music, and magazines play a big part on the way they behave.     @CAPS2 own experience with offensive books would be, there are books that are made by @PERSON3. In these books they use curel language, use wonmen bodyparts as symbols and many more rude things. @CAPS2 little sister came across one of these books, when she ask me about it was hard for me to explain to her that this was no book for a child her age to be reading, So the best way for me to put it was that it was an adult book. For her to get any images out of her head that I felt she shound't have.     Another experience I've saw was with @CAPS2 little cousin @PERSON2. He was looking at a magazine out of @ORGANIZATION1 library. The magazine was offensive to wonmen. It was a play boy bunny magazine. Now I don't know if you ever heard of these magazine , but I think it is very wrong that they use wonmen bodys for men to view . I also feel that  those type of magazines should not be in a @ORGANIZATION1 library. I believe it gives children, mainly  young men the wrong thoughts about wonmen.     @CAPS2 overall thoughts on censorship in libraries, is that not eveyone is going to feel the same way I do . There are parents that allow their children to read, listen , and watch whatever they want. I'm here to say i don't feel that is the way to go about things , because it can influence your children to do inappropriate things . I hope you take with you, @CAPS2 personal experience with you and help you children read , listen , and watch age appropriate books , music , moives , and magazines",3,3.0,train,Here’s the breakdown of
1185,3355,2,"I don't believe any of those materials are offensive if found in a library. But if the childrens look somewhere else to find those things then they will find them anytime. The offensive materials are out there to be pick up by some people including children.     The books aren't offensive only if found in the adult area. If so found there the children would'nt read it because it's too long for them and the book doesn't have any pictures in the book. Music is offensive but like I said only found in the adult area. Kids aren' interesting in music at that ageso they would'nt bother to see them. Movies and Magazines have offensive things in it and can be found any where, but found in a library is gonna be rare. The only thing you will find in a library that is offensive is gonna be a magazine.they make a bunch of different type of them, and can be found anywhere.     To explain the offensive, and the none offensive books that are out there. I'm gonna talk about '@CAPS1 @CAPS2.' @CAPS3 book has a lot of bad words, sexual scenes, drugs, gang violence, racism. @CAPS3 book is so offensive that the childrens parents would'nt let them read it, but @CAPS3 book is based on a true story. Everything that happened in that book was real, and people need to know what happened and why were the people in that story doing those things. Some books @MONTH1 be offensive but you can learn from others mistake by reading that book.     Everything @MONTH1 be offensive to you in one way, but looking from the other point of view it's a learning experience. People that made those mistake could tell the childrens that those stuff aren't wroth it. Everything has it's purpose. The books can tell you the story of peoples life, and the movies are based from the story and instead you can watch it. Music can tell you the life of people by poetry. Magazines really dont have a point their just there to gossip",3,3.0,train,Score: 2
1186,3376,2,"Materials should not be removed from libraries. It should be left up to a person to decided what the see or view. Books, music, movies, etc., are materials used by everyone and for some a library provide a haven where the can get there hands on such things only and no where else, so shouldn't try to take away any of these things from any body.     One reason why certain materials should not be removed from libraries shelfs is that there will always be some subjects, and materials that a great many people will argue shouldn't be seen, and there will always be other people who feels differently. And if we allow them to be taken away you will only be taking away a person own choice, which is something we all should strieve not to do. Also just who would be left to decide what material should be removed and what material shouldn't? Is there really one person who could make a such a choice for everyone? Also there is no way everyone could agree on what material should be removed, so by trying you would just be providing something more for everyone to argue on. I believe that if not everyone can be satisfied then why bother.     Another reason why in libraries certain materials shouldn't be removed is that by removing certain materials you would be interfering with education. Books, movies and other such things are used for learning even weather people realize it or not, and the more oppuntunties a person has to learn the better. And who are we to decide what a person decides to educate themselves about? There has infact been times in history when people in charge have wrongly decide that the public should not be educate or know about certain things and it was wrong then and it would be even more wrong now in our modern society. A society that is based on learning and knowledge, a socity that in situration should not hinder a persons ability to learn.     Also I realize some people @MONTH1 argue that for young children some materials are better left unviewed, but that's is where parents come in. It's there resoponsibility to decide what their children read or see and not anyone elses. And so there is no reason why anyone should interfere with a parents choice as long as it is in aggrement with the law.      These are the reasons why I think libraries shouldn't be allowed to decided what materials and subjects are put on their shelfs. For some dicsion no one can make to satify everyone and to be in the right. Therefore it is better that such things are left up to the person themselves.",4,4.0,train,Here’s the breakdown of
1187,3784,2,"In the literary world of today it is never hard to find a topic that will interest you. Science fiction, thriller, romance, how to build a car with household materials and many more topics all await you at your nearest bookstore or library. With this vast array of topics it isn't that surprising that you will find some authors that have decided to go against the norms of society and write a book that is controversial in the ideas that it presents. These books will often get put on a 'burn list' or censorship list and will be taken off the shelves of the local libraries in order to protect the patrons of those institutions from those books' ideas. Many have argued that this is a way of keeping the society pure, but this censorship of literary works is probably one of the biggest mistakes a civilization can make.     Removing books from the shelves off a library is a form of censorship, which is a clear violation of the @CAPS1. In the @LOCATION1, everyone has certain unalienable rights. These were written out in our @CAPS1 as the first ten admendments to the @CAPS1. One of those rights is the freedom of speech, or the right to voice your opinion. By remving a book from the shelf of a library, you are silencing the author of that book and thus taking away that author's freedom of speech. This clearly violates the @CAPS1 and thus is unconstitutional and illegal in the @LOCATION1. By violating the @CAPS1 openly, this opens the door for other areas to be violated in the @CAPS1. The president is now a dictator, we are now a communist country, and many other actions are allowed, leaving the @CAPS1 as a scrap of paper with no meaning. Without the @CAPS1, the @LOCATION1 is just like any other country and has no direction. This leads to a downward spiral of our society.     The silencing of the voices of authors also stops new ideas from coming in to a society. Every year thousands of new books are introduced to the @CAPS8 public. Many of these have novel ideas that help shape our society for the future. If you take these books off the shelves, and out of the publics hands, you effectivly stop all change from new ideas in a society. Nothing would ever get better, and the society would stay at the same level that they were when the censorship began.     Censorship can also lead to the downfall of a society. In the novel '@CAPS9 @NUM1' by @PERSON1, the censorship of books has gone so far that all the great literary works of the world are banned. Anyone who is caught reading a book that 'makes the think' locked up or killed. The main characters job as a fireman is not to put out fires, but to set books on fire that encourage people to think. The censorship of that society had gone so far that no one did anything, they just sat at home and watched the television all day. Many people will argue that pornography is something that should be censored out of society, but the problem is once you start censoring, where do you stop? Censoring out pornography would lead to romance novels being censored, which would lead to magic books being censored, and so on until you are censoring out @CAPS10 @CAPS11 or the @CAPS12. By censoring out the books and movies that make people think, you quickly lose all intrest in higher learning. That is why censorsip can quickly lead to the collapse of a society.     Although censorship @MONTH1 seem like a good idea, it is really one of the largest mistakes a society can make. It can lead to the silencing of all the voices of change in a society causing society to grind to halt and stay right were it is. Not only is it determental to a society but it is also is clearly unconstitutional if you look at the @CAPS1 of the @ORGANIZATION1. So let us hope that all though we @MONTH1 play with the idea of censorship, that we never go down that winding road to no where",5,4.0,train,Score: 3
1189,4302,2,"The offensive things found in a library. In many libraries now a days there are all kinds of vilent and bad books talking about vilenst. Should libraries take these books, movies, or music off the shelfes find out.     The library should not have to take these tipes of things out of the library. If they have bad related books they should just make a different section in the library for them. For rated @CAPS1 movies they can have them in the library. You have to be over @NUM1 years of age. For music if it has an @CAPS2 sticker you have to be over @NUM2 to rent it. If the parents dont like it then dont get it.     They should make different sections in the library for the offensive books that they have. Kids under a surtain age should not be allowed to read the books. If they still want the book they have to get parents permissition to rent it.      Rated @CAPS1 movies they should be allowed in the library. You just have to be over @NUM1 to go in that area and with an adult. If you want to rent a movie you need to have parents permissition. You also have to watch this movie with an adult.     Music if it has an @CAPS2 sticker you have to be over @NUM2 to rent it. You can still rent it if your parents say its ok. They should make the @CAPS5 behind the counter. So that little kids can not see the front of the cases. If the parents dont like the libraries rules then dont rent anything from the library.     So dont take off the offensive books, movie, or @CAPS5. If you were head of the library what would you do. Take out the offensive things, or just put them in different sections",3,3.0,train,Score: 2
1190,3611,2,If you take any of these books off the shelves that would be lik taking away some of our chilldhood. that wuldn't be the nicest thing to do. Even if you did take some of them off then what would we show our children when they ask what was yoour favorite book as a kid.      We will have to tell them that the library doesn't have those books anymore. the had to make room for other books. So if you would please under stand we got to read all of our parents favorite child hood books.       I mean how wuld you fel if you couldnt share that with your kids? I would be upset because my parents told me and i went out and got them from the library and I loved them to So please if you can leave the books alone,2,2.0,train,Score: 2
1192,4201,2,"Libraries hold more than just books, magazines, and movies... They hold history. With out any doubt, there is offensive material printed on numerous pages spread through out the thousands of books and magazines a library holds. Some find this terrible, but I on the other hand, completly disagree. Every book has a different story to tell, and everyone comprehends the content differently so I think libraries shouldn't take out offensive material from their shelves.      What's really considered offensive? This question would be very hard to answer because everyone has a different veiw, different opinons, and a different background. Some would say violence, drugs, gangs, and sexual situations are offensive... While others consider religion, beliefs, traditions, and morals offensive. With all the different veiws on what someone finds offensive, a library would have to almost completly clean their shelves just to remove a small porportion of it.      There's many sections in a library, from fiction to children stories. If there is an area for 'children books,' and 'adult books,' @CAPS1 can't there be one for materials some readers would find offensive? Libraries could even mark a book if it held something offensive.This would settle many conflicts! If a reader chooses to read a book that was marked with offensive content, they would have no right to get upset.       Limiting our libraries shelves is unthinkable. If someone got offended by what they read, they could put the book down just as fast as they picked it up. A public library is a public place, where many people go... so if one person gets offended by something they read or saw, doesn't mean the next person will. Bottom line is, no book should be taking away because someone couldn't handle what was being sad.     'If I have the right to remove that book from the shelf - that work I abhor - then you have exactly the same right and so does everyone else. And then we have no books left on the shelf for any of us.' @CAPS2 everyone's veiw on offensive material is different, eliminating it would be hard. One person found this book offensive, so it's gone... The library would be pointless. The shelves would empty, because the loss of many phenomenal books. People do get offended, that's just life... I don't think that they should be able to take a book away from everyone just because of one person's opinon on it",4,4.0,train,Here are some key observations
1193,4466,2,"I think that only if there is real offensive stuff then it should be censored.  It is wrong to make fun of or joke about people. Mocking a dissability like there have been  movies made doing. Well actually, there is a movie I've seen before called The @CAPS1 and its a guy that made fun of a special olympic team, then lied about having a dissability to get money for racing and beating the team in races when he was totally fine.That would be something that I myself would want to take off shelves because there is no reason to mock a dissability.  I wouldn't know who decides what goes on shelves and what does not so maybe depending on what the offensive information is tells them something shouldnt be brought out",2,3.0,train,The essay has several issues
1194,4227,2,"Why would you ever censor anything in a library? Apparently because things such as books, music, movies, magazines, ect. can be found offensive.  If something is considered offensive, why put it in a library anyway if its going to be open to anyone in the public, including children?       First off, censorship is important but we don't need it in libraries of all places.  Libraries is a place where all sorts of literature comes together in one place where it can be seen and read by those who admire literature.  Censorship is stopping this by pulling books off shelfs because they are considered offensive.  If a book is offensive, first decide what kind of audience it would be offensive to.  Then decide whether or not it is offensive to even an adult audience.  If it is found to be offensive to an adult audience, then it should be pulled off the shelves of a library.  Otherwise it should be placed in the adult section of the library.     Libraries should have certain sections for certain books and other pieces of literature.  As mentioned before, if a book is too offensive for anyone not of adult audience, it should be placed in an adult section.  Books that are suitable for children should be put in the children's section.  You can even have a such section for young adults for books that are suitable for teenagers.  Sections in a library almost completely defeats the need of censorship.  Sections help correctly place books and other pieces of literature in a library so that onlt readers of certain suitable ages @MONTH1 read them.     In conclusion, sections in a library can be used instead of censorship.  If we were to censor what books were on the shelves in a library the eventually there will hardly any books for anybody.  Sections help keep books in a library, but keeps them in a place where the right audience can view them",4,4.0,train,Here’s the breakdown of
1195,4040,2,"Books have been around for hundreds and hundreds of years. They have significent value in culture, lives, and everything else. We all see kids laughing and enjoying books about pretty ponies and little puppies. What we don't see is how books and magazines are really effecting people of different race, religion, or age. We should take a stand and get rid of these bad books. Negitive books, movies, and magazines should be taken off the shelf to prevent hurt feelings and ideas.      We have learned to accept everybody no matter what color they are. I remember in @NUM1 grade when a girl named @PERSON1 got very upset because she thought a book was making fun of her skin color. Everyone in the book was white and excluded a african american girl from playing with them because she wasn't pretty enough. She went to tell the teacher and the teacher threw the book away and said that we should all learn to treat everyone with respect no matter what they look like. We need to have more books like what the teacher was trying to teach us. To boost everyones spirits and make them feel better about themselves. The world has changed and books should too.      Many things influence people of different ages, race, or religion. Books that talk bad about other religions or make you second guess your faith are considered negitive and should be taken off the shelf. How would you like it if someone was putting down your religion? That is how many people feel when reading that kind of material. These books, magazines, and movies are not good for anybody and should not be anywhere near libraries.      Have you been watching what your kids are reading about or what movies they are watching? Most of childrens books and movies have pretty princesses and little mermaids but not all of them. Behind some movies or books there is are violence and bad scenes. When fight scenes occur and zombies attack, children believe that everything is real and that it is ok to kill someone if they are a bad. Boys believe that it is ok to hurt people because that is what happens in the movies. Girls believe that everything about a princess is perfect and flawless and to be a princess they also have to be flawless. Do we really want childrent to think it is ok to fight and be upset because they are not perfect? Libraries need to get rid of these book and movies because it is badly influencing the children in the world.      Not all books are bad and not all of them are good, so we need to divide and conquer. We need to take a closer look and really examine what needs to be taken off the shelves. The books, magazines, and movies that influence people to think differently about themselves need to go away for good. To get rid of these books that cause conflict within a person is like getting rid of a big burden. It can make a really big improvment in adults and children. Please take negitive books and movies off the shelves to prevent any unnecessary problems!",3,4.0,train,To evaluate the essay according
